the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_17_f000065|But we candt melt or forge gold under water, mate, the Captain said.|But we candt melt or forge gold under water, mate, the Captain said.
the_sea_fairies_17_f000066|Why not?|Why not?
the_sea_fairies_17_f000067|Don't you s'pose all these gold roses and things were made under water? asked the little girl.|Don't you s'pose all these gold roses and things were made under water? asked the little girl.
the_sea_fairies_17_f000068|Like enough, remarked the sailor, but I don't see how.|Like enough, remarked the sailor, but I don't see how.
the_sea_fairies_17_f000069|Just then the gong at the door sounded, and the boy Sacho came in smiling and cheerful as ever.|Just then the gong at the door sounded, and the boy Sacho came in smiling and cheerful as ever.
the_sea_fairies_17_f000070|He said Zog had sent him to inquire after their health and happiness.|He said Zog had sent him to inquire after their health and happiness.
the_sea_fairies_17_f000071|You may tell him that his water became a trifle too warm, so we cooled it, replied the Queen.|You may tell him that his water became a trifle too warm, so we cooled it, replied the Queen.
the_sea_fairies_17_f000072|Then they told Sacho how the boiling water had made them uncomfortable while they slept.|Then they told Sacho how the boiling water had made them uncomfortable while they slept.
the_sea_fairies_17_f000073|Sacho whistled a little tune and seemed thoughtful.|Sacho whistled a little tune and seemed thoughtful.
the_sea_fairies_17_f000074|Zog is foolish, said he.|Zog is foolish, said he.
the_sea_fairies_17_f000075|How often have I told him that vengeance is a waste of time.|How often have I told him that vengeance is a waste of time.
the_sea_fairies_17_f000076|He is worried to know how to destroy you, and that is wasting more time.|He is worried to know how to destroy you, and that is wasting more time.
the_sea_fairies_17_f000077|You are worried for fear he will injure you, and so you also are wasting time.|You are worried for fear he will injure you, and so you also are wasting time.
the_sea_fairies_17_f000078|My, my!|My, my!
the_sea_fairies_17_f000079|What a waste of time is going on in this castle!|What a waste of time is going on in this castle!
the_sea_fairies_17_f000080|Seems to me that we have so much time it doesn't matter, said Trot.|Seems to me that we have so much time it doesn't matter, said Trot.
the_sea_fairies_17_f000081|What's time for, anyhow?|What's time for, anyhow?
the_sea_fairies_17_f000082|Time is given us to be happy, and for no other reason, replied the boy soberly.|Time is given us to be happy, and for no other reason, replied the boy soberly.
the_sea_fairies_17_f000083|When we waste time, we waste happiness.|When we waste time, we waste happiness.
the_sea_fairies_17_f000084|But there is no time for preaching, so I'll go.|But there is no time for preaching, so I'll go.
the_sea_fairies_17_f000085|Please wait a moment, Sacho, said the Queen.|Please wait a moment, Sacho, said the Queen.
the_sea_fairies_17_f000086|Can I do anything to make you happy?|Can I do anything to make you happy?
the_sea_fairies_17_f000087|he asked, smiling again.|he asked, smiling again.
the_sea_fairies_17_f000088|Yes, answered Aquareine.|Yes, answered Aquareine.
the_sea_fairies_17_f000089|We are curious to know who does all this beautiful gold work and ornamentation.|We are curious to know who does all this beautiful gold work and ornamentation.
the_sea_fairies_17_f000090|Some of the slaves here are goldsmiths, having been taught by Zog to forge and work metal under water, explained Sacho.|Some of the slaves here are goldsmiths, having been taught by Zog to forge and work metal under water, explained Sacho.
the_sea_fairies_17_f000091|In parts of the ocean lie many rocks filled with veins of pure gold and golden nuggets, and we get large supplies from sunken ships as well.|In parts of the ocean lie many rocks filled with veins of pure gold and golden nuggets, and we get large supplies from sunken ships as well.
the_sea_fairies_17_f000092|There is no lack of gold here, but it is not as precious as it is upon the earth because here we have no need of money.|There is no lack of gold here, but it is not as precious as it is upon the earth because here we have no need of money.
the_sea_fairies_17_f000093|We would like to see the goldsmiths at work, announced the Queen.|We would like to see the goldsmiths at work, announced the Queen.
the_sea_fairies_17_f000094|The boy hesitated a moment.|The boy hesitated a moment.
the_sea_fairies_17_f000095|Then he said, I will take you to their room, where you may watch them for a time.|Then he said, I will take you to their room, where you may watch them for a time.
the_sea_fairies_17_f000096|I will not ask Zog's permission to do this, for he might refuse.|I will not ask Zog's permission to do this, for he might refuse.
the_sea_fairies_17_f000097|But my orders were to allow you the liberty of the castle, and so I will let you see the goldsmiths' shop.|But my orders were to allow you the liberty of the castle, and so I will let you see the goldsmiths' shop.
the_sea_fairies_17_f000098|Thank you, replied Aquareine quietly, and then the four followed Sacho along various corridors until they came to a large room where a dozen men were busily at work.|Thank you, replied Aquareine quietly, and then the four followed Sacho along various corridors until they came to a large room where a dozen men were busily at work.
the_sea_fairies_17_f000099|Lying here and there were heaps of virgin gold, some in its natural state and some already fashioned into ornaments and furniture of various sorts.|Lying here and there were heaps of virgin gold, some in its natural state and some already fashioned into ornaments and furniture of various sorts.
the_sea_fairies_17_f000100|Each man worked at a bench where there was a curious iron furnace in which glowed a vivid, white light.|Each man worked at a bench where there was a curious iron furnace in which glowed a vivid, white light.
the_sea_fairies_17_f000101|Although this workshop was all under water and the workmen were all obliged to breathe as fishes do, the furnaces glowed so hot that the water touching them was turned into steam.|Although this workshop was all under water and the workmen were all obliged to breathe as fishes do, the furnaces glowed so hot that the water touching them was turned into steam.
the_sea_fairies_17_f000102|Gold or other metal held over a furnace quickly softened or melted, when it could be forged or molded into any shape desired.|Gold or other metal held over a furnace quickly softened or melted, when it could be forged or molded into any shape desired.
the_sea_fairies_17_f000103|The furnaces are electric, explained Sacho, and heat as well under water as they would in the open air.|The furnaces are electric, explained Sacho, and heat as well under water as they would in the open air.
the_sea_fairies_17_f000104|Let me introduce you to the foreman, who will tell you of his work better than I can.|Let me introduce you to the foreman, who will tell you of his work better than I can.
the_sea_fairies_17_f000105|The foreman was a slave named Agga-Groo, who was lean and lank and had an expression more surly and unhappy than any slave they had yet seen.|The foreman was a slave named Agga-Groo, who was lean and lank and had an expression more surly and unhappy than any slave they had yet seen.
the_sea_fairies_17_f000106|Yet he seemed willing to leave his work and explain to the visitors how he made so many beautiful things out of gold, for he took much pride in this labor and knew its artistic worth.|Yet he seemed willing to leave his work and explain to the visitors how he made so many beautiful things out of gold, for he took much pride in this labor and knew its artistic worth.
the_sea_fairies_17_f000107|Moreover, since he had been in Zog's castle these were the first strangers to enter his workshop, so he welcomed them in his own gruff way.|Moreover, since he had been in Zog's castle these were the first strangers to enter his workshop, so he welcomed them in his own gruff way.
the_sea_fairies_17_f000108|The queen asked him if he was happy, and he shook his head and replied, It isn't like Calcutta, where I used to work in gold before I was wrecked at sea and nearly drowned.|The queen asked him if he was happy, and he shook his head and replied, It isn't like Calcutta, where I used to work in gold before I was wrecked at sea and nearly drowned.
